TIC ID,Period (days),Predicted Mass (M_Earth),Stellar Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),Stellar log(g) (cm/s2),Stellar Distance (pc),TESS mag
259377017.00 ,5.660569316,6.39,3551,0.374357998,0.362274,4.83982,22.4793,10.4981
259377017.00 ,11.37956534,5.72,3551,0.374357998,0.362274,4.83982,22.4793,10.4981
259377017.00 ,3.360137707,1.78,3551,0.374357998,0.362274,4.83982,22.4793,10.4981
259511357.00 ,2.475973306,8.3,6025,1.330119967,1.15,4.33135,100.245,8.4332
268766053.00 ,3.309845755,104.2,4953,0.858618975,0.818,4.55653,201.338,11.7617
279740441.00 ,0.741859449,35.09,4304.6,0.66174,0.67,4.57,106.16,11.481
281979481.00 ,0.541794727,8.64,5181,0.807298005,0.87,4.54631,113.378,10.4929
373844472.00 ,0.9195617,56.61,5616,0.82,1,4.3762,144.866,11.0611
382188882.00 ,4.8000876,125.74,6366,1.58,1.3,4.16217,352.383,10.6559
439456714.00 ,3.993441827,16.84,3748,0.523113012,0.520428,4.7573,64.6692,11.7315
244161191.00 ,0.298730996,6.94,2955,0.300639004,0.277347,5.13527,44.397,13.1672
122613513.00 ,11.4707838,4.1,4140,0.73,0.69,4.46332,74.3761,10.5012
42054565.00 ,10.18430614,6.59,5454,0.782680988,0.95,4.59104,99.66,9.9955
38696105.00 ,5.5765284,17.03,6002.18,1.52,1.11,4.12354,283.856,10.5041
29781292.00 ,56.0019997,17.49,6321,1.41,1.24,4.22436,139.611,8.9387
29781292.00 ,31.32312,4.72,6321,1.41,1.24,4.22436,139.611,8.9387
29781292.00 ,84.25909262,9.31,6321,1.41189003,1.24,4.22436,139.611,8.9387
29781292.00 ,22.8909432,10.07,6321,1.41,1.24,4.22436,139.611,8.9387
382626661.00 ,17.6175468,4.55,5250,0.81,0.9,4.64176,82.7013,9.6768
277103955.00 ,1.309135827,0.95,4779.8,0.772044,0.74,4.57,52.1472,9.2927
220459976.00 ,32.332528,10.21,3891,0.615038,0.622424,4.64044,115.801,12.1677
150030205.00 ,4.5117313,2.81,5245,0.79,0.86,4.57666,59.2293,9.1059
150030205.00 ,39.3617061,3.54,5245,0.79,0.86,4.57666,59.2293,9.1059
2758565.00 ,3.781812,317,5807,1.17009,1.04,4.32,486.856,12.3611
47316976.00 ,711.7446522,60.07,6530,2.02086997,1.346,3.96,215.387,8.97174
201292545.00 ,,317,5728,1.69,1.02,3.99,454.65,11.4483
201233610.00 ,21.05271,317,5736,1.73,1.02,3.97,933.836,12.9528
49710555.00 ,12.08837,317,5920,1.34,1.08,4.22,551.16,12.3035
180285396.00 ,10.36924256,66.22,4463,0.789514,0.7,4.49,295.784,13.2806
355637190.00 ,0.8054361,49.86,5905,1.4,1.11,4.13,336.367,11.024
188570092.00 ,7.327945,65.69,4521,0.79,0.711,4.5,127.589,11.3875
327952677.00 ,3.39710906,127.5,5864,1.27071,1.06,4.26,488.387,12.141
382463648.00 ,25.2584,59.86,5290,0.95,0.91,4.45,471.798,13.1066
115242351.00 ,5.67116,65.87,4871,1.09,0.79,4.26,461.513,13.1099
206686292.00 ,1.328860452,317,6273,1.67606,1.22,4.08,957.936,12.7602
156075294.00 ,5.721619909,58.48,5541,1.19313,0.98,4.28,447.784,12.3012
166697854.00 ,2.75753,43.24,5776.5,1.94,1.04,2.99,397.391,10.8387
144301052.00 ,3.74405,41.18,6048,1.7,1.13,4.03,667.745,12.0684
229111835.00 ,6.70145,51.26,4130,0.74,0.65,4.51,195.124,12.9317
145750719.00 ,3.5608112,77.95,5659,1.47,1,4.1,486.474,12.0213
262530873.00 ,2.24172,317,6292,1.88,1.23,3.98,964.641,12.5145
102030574.00 ,9.94915,317,5852,1.65,1.06,4.03,689.883,12.3294
114749636.00 ,4.60273,89.22,5909,1.34,1.07,4.21,436.098,11.7607
9100874.00 ,6.16679,317,5747,1.28,1.03,4.24,738.175,13.1198
281710229.00 ,8.3092965,131.13,4801.3,0.85,,,,11.7628
228507250.00 ,6.15736,96.28,5329,,,,345.288,12.4154
175477257.00 ,4.26956,97.8,5798,1.3,1.04,4.22,557.751,12.4191
434105231.00 ,0.7962992,317,4062.7,0.95,0.63,4.61,232.861,12.9517
180145006.00 ,3.541378691,75.49,5755,1.28259,1.03,4.23,506.715,12.2607
9102327.00 ,3.2615,34.73,5963,1.13,0.929,3.41,304.942,11.3018
316769613.00 ,10.18108,7.51,4822,0.78,0.78,4.55,131.567,11.1741
66356824.00 ,3.55562,86.63,5671,1.34,1.01,4.19,551.619,12.4245
8988289.00 ,13.32379,317,4312,0.84,0.66,4.59,275.027,13.1186
402319411.00 ,3.326283489,317,5391,0.947584987,0.94,4.46,446.344,12.9238
206352378.00 ,3.746243348,96.62,4696,0.775888,0.75,4.53,319.923,13.2316
389753172.00 ,0.7135373,317,4349.7,0.74,0.65,4.58,182.561,12.7464
188593930.00 ,1.46503,24.74,5912.5,0.88,1.11,4.36,379.256,12.3574
175476629.00 ,1.14057,34.69,5349.5,0.84,0.93,4.44,380.053,12.8509
198077394.00 ,3.990568787,317,5868.2,2.764420033,,,277.798,10.7074
251852984.00 ,2.772391543,28.88,4558,0.775641,0.72,4.52,315.141,13.3547
156002449.00 ,5.285020636,317,6113,1.27295,1.15,4.29,944.552,13.4081
66413476.00 ,4.36907,30,4391,0.9,0.69,4.36,180.753,12.004
144336525.00 ,0.24733,317,6316,1.25,0.94,3.75,462.239,11.7549
206669860.00 ,10.05525597,317,5960,1.31971,1.09,4.23,958.071,13.4573
139357541.00 ,4.47894,317,6074,1.2,1.14,4.33,659.967,12.7703
